q_value	p_value	UCSC_RefGene_Accession
0.008898595435426178	0.0003530743462922532	NM_020649
0.008898595435426178	0.0003544091826708936	NM_006987
0.008898595435426178	0.0003551861482258018	NM_005089
0.008898595435426178	0.00035576888639926493	NM_001128301
0.008898595435426178	0.0003557688863992691	NM_001128302
0.008898595435426178	0.00035851963584558844	NM_080652
0.008898595435426178	0.0003585461264332107	NM_016284
0.008898595435426178	0.000364513376158194	NM_001145402
0.008898595435426178	0.0003659855681287934	NM_017861
0.008898595435426178	0.0003659855681288083	NM_001166304
0.008898595435426178	0.0003694246265029345	NM_001161658
0.008898595435426178	0.00036942462650295664	NM_005375
0.008898595435426178	0.0003694246265031244	NM_001161660
0.008898595435426178	0.0003694246265031801	NM_001130172
0.008898595435426178	0.00036942462650319674	NM_001161657
0.008898595435426178	0.00036942462650325014	NM_001161656
0.008898595435426178	0.00036942462650338414	NM_001130173
0.008898595435426178	0.00036942462650385463	NM_001161659
0.008898595435426178	0.00036985148661954374	NM_032898
0.008898595435426178	0.00037091393363061493	NM_001142577
0.008898595435426178	0.0003709139336306214	NM_001010880
0.008898595435426178	0.0003709139336306355	NM_001142578
0.008898595435426178	0.00037368666925486477	NM_001142579
0.008898595435426178	0.0003745875792990938	NM_012478
0.008898595435426178	0.0003754225699391373	NM_004694
0.008898595435426178	0.0003756935724982307	NM_020459
0.008898595435426178	0.00037630070460668857	NM_023110
0.008898595435426178	0.00037630070460669405	NM_023105
0.008898595435426178	0.00037630070460669687	NM_023111
0.008898595435426178	0.00037630070460673546	NM_015850
0.008898595435426178	0.0003763007046083126	NM_023106
0.008898595435426178	0.00037740571142134987	NM_004315
0.008898595435426178	0.00037740571142137497	NM_001127505
0.008898595435426178	0.0003783957901882036	NM_177924
0.008898595435426178	0.00037891897143350716	NM_004553
0.008898595435426178	0.0003817425351308845	NM_002355
0.008898595435426178	0.0003822811645508162	NM_025181
0.008898595435426178	0.000384237460607624	NM_015440
0.008898595435426178	0.00038426450108057264	NM_022130
0.008898595435426178	0.00038482683522644503	NM_016263
0.008898595435426178	0.00038586448852537443	NM_002709
0.008898595435426178	0.00038586448852537443	NM_206876
0.008898595435426178	0.0003892267311262876	NM_206999
0.008898595435426178	0.0003892886341983776	NM_000544
0.008898595435426178	0.0003921160661786282	NM_006355
0.008898595435426178	0.0003922230299679708	NM_139314
0.008898595435426178	0.00039222302996798315	NM_001039667
0.008898595435426178	0.0003923061589222	NM_080657
0.008898595435426178	0.00039295578141303975	NM_017563
0.008898595435426178	0.0003956809134177467	NM_012233
0.008898595435426178	0.00039904046998721964	NM_017646
0.008898595435426178	0.0004017324156227043	NM_000287
0.008898595435426178	0.00040308892986848295	NM_001146334
