q_valuepi0=1	p_value	UCSC_RefGene_Accession
0.011154725978726888	5.4480749213506454e-05	NM_001139457
0.011154725978726888	5.535423838483134e-05	NM_018304
0.011154725978726888	5.5635155037359766e-05	NM_020426
0.011154725978726888	5.58747936342719e-05	NM_000863
0.011154725978726888	5.6159601841998034e-05	NM_001135106
0.011154725978726888	5.624471893613479e-05	NM_139172
0.011154725978726888	5.6980929935175034e-05	NM_001164760
0.011154725978726888	5.702408270515022e-05	NM_001164758
0.011154725978726888	5.702408270515868e-05	NM_001164759
0.011154725978726888	5.7446724194849513e-05	NM_172239
0.011154725978726888	5.8048742126793616e-05	NM_172103
0.011154725978726888	5.8048742139806434e-05	NM_004100
0.011154725978726888	5.8048742145458644e-05	NM_172105
0.011154725978726888	5.833130404835494e-05	NM_001040411
0.011154725978726888	5.833130404835546e-05	NM_001040412
0.011154725978726888	5.898875257725666e-05	NM_000737
0.011154725978726888	5.944580711893032e-05	NR_027816
0.011154725978726888	5.977241699715515e-05	NM_005745
0.011154725978726888	6.005940250513361e-05	NM_054110
0.011154725978726888	6.028668350981631e-05	NM_001040664
0.011154725978726888	6.152616615016083e-05	NM_018440
0.011154725978726888	6.274851909940038e-05	NM_002784
0.011154725978726888	6.310128226922045e-05	NM_005975
0.011154725978726888	6.368454575135407e-05	NM_021803
0.011154725978726888	6.372838094241529e-05	NM_153609
0.011154725978726888	6.405004673634373e-05	NM_001656
0.011154725978726888	6.405004673923916e-05	NM_033227
0.011154725978726888	6.405004674401876e-05	NM_033228
0.011154725978726888	6.409953550340129e-05	NM_000445
0.011154725978726888	6.509311862073628e-05	NM_020822
0.011154725978726888	6.5615686775452e-05	NR_003545
0.011154725978726888	6.561568678589913e-05	NM_001093755
0.011154725978726888	6.56156867957292e-05	NM_024941
0.011154725978726888	6.561568680161294e-05	NM_001093756
0.011154725978726888	6.744245883303973e-05	NM_198482
0.011154725978726888	6.755954521521589e-05	NM_015318
0.011154725978726888	6.757322408439055e-05	NM_001025295
0.011154725978726888	6.812512664899185e-05	NM_138284
0.011154725978726888	6.830824401556032e-05	NM_014581
0.011154725978726888	6.853039789672133e-05	NM_020162
0.011154725978726888	6.92784091916066e-05	NM_020901
0.011154725978726888	6.935702314645965e-05	NM_020386
0.011154725978726888	7.029894598642584e-05	NM_001134407
0.011154725978726888	7.029894599712559e-05	NM_000833
0.011154725978726888	7.078356143782095e-05	NM_004962
0.011154725978726888	7.116022514005069e-05	NM_001080518
0.011154725978726888	7.135398644720416e-05	NM_024046
0.011154725978726888	7.155237537786205e-05	NM_020866
0.011154725978726888	7.277907791632036e-05	NM_002566
0.011154725978726888	7.285994057848779e-05	NM_012404
0.011154725978726888	7.336729082182214e-05	NM_004067
0.011154725978726888	7.343371884489317e-05	NM_001005176
